customer_id,customer_name,segment,city,state,region
CU-100050,Elizabeth Davis,Consumer,Columbus,OH,South
CU-100051,Lisa Miller,Consumer,Los Angeles,CA,South
CU-100052,Joseph Jones,Corporate,Dallas,TX,South
CU-100053,Robert Jones,Consumer,Phoenix,AZ,East
CU-100054,Sarah Lopez,Corporate,Seattle,WA,East
CU-100055,Elizabeth Rodriguez,Home Office,Los Angeles,CA,West
CU-100056,Michael Wilson,Consumer,Los Angeles,CA,East
CU-100057,Jennifer Miller,Consumer,Chicago,IL,West
CU-100058,Michael Miller,Home Office,Los Angeles,CA,Central
CU-100059,Robert Hernandez,Home Office,Dallas,TX,Central
CU-100060,William Miller,Consumer,San Diego,CA,Central
CU-100061,James Anderson,Consumer,Charlotte,NC,East
CU-100062,Emma Johnson,Home Office,Charlotte,NC,West
CU-100063,William Williams,Corporate,Indianapolis,IN,East
CU-100064,Patricia Jones,Consumer,San Diego,CA,South
CU-100065,Mary Martinez,Home Office,Seattle,WA,East
CU-100066,Mary Anderson,Home Office,Seattle,WA,East
CU-100067,William Johnson,Consumer,Phoenix,AZ,West
CU-100068,Mary Martinez,Consumer,Dallas,TX,Central
CU-100069,William Rodriguez,Corporate,San Antonio,TX,Central
CU-100070,Michael Hernandez,Corporate,Los Angeles,CA,Central
CU-100071,John Garcia,Consumer,Los Angeles,CA,Central
CU-100072,Joseph Rodriguez,Home Office,Philadelphia,PA,South
CU-100073,John Johnson,Consumer,Seattle,WA,West
CU-100074,Sarah Wilson,Corporate,Seattle,WA,West
CU-100075,David Smith,Corporate,Columbus,OH,Central
CU-100076,Patricia Brown,Home Office,Los Angeles,CA,West
CU-100077,Patricia Gonzalez,Home Office,Houston,TX,South
CU-100078,Jennifer Wilson,Consumer,Phoenix,AZ,West
CU-100079,John Williams,Home Office,Columbus,OH,Central
CU-100080,Jennifer Jones,Consumer,Columbus,OH,East
CU-100081,Sarah Wilson,Corporate,Fort Worth,TX,West
CU-100082,Joseph Garcia,Corporate,San Antonio,TX,West
CU-100083,John Hernandez,Consumer,San Diego,CA,South
CU-100084,William Wilson,Consumer,Austin,TX,Central
CU-100085,Richard Hernandez,Home Office,Jacksonville,FL,Central
CU-100086,Emma Anderson,Corporate,New York,NY,West
CU-100087,Sarah Johnson,Home Office,Dallas,TX,South
CU-100088,James Miller,Home Office,Jacksonville,FL,East
CU-100089,Robert Jones,Consumer,Fort Worth,TX,South
CU-100090,Robert Garcia,Corporate,New York,NY,East
CU-100091,James Hernandez,Consumer,Austin,TX,Central
CU-100092,Mary Hernandez,Corporate,Indianapolis,IN,Central
CU-100093,Mary Rodriguez,Consumer,Fort Worth,TX,West
CU-100094,Richard Hernandez,Home Office,Columbus,OH,West
CU-100095,Richard Rodriguez,Consumer,San Jose,CA,Central
CU-100096,Robert Miller,Home Office,San Jose,CA,Central
CU-100097,Joseph Davis,Home Office,Charlotte,NC,West
CU-100098,Elizabeth Gonzalez,Home Office,Indianapolis,IN,West
CU-100099,Mary Rodriguez,Home Office,Chicago,IL,Central
CU-100100,Jennifer Hernandez,Corporate,Chicago,IL,West
CU-100101,David Smith,Consumer,San Antonio,TX,West
CU-100102,Michael Davis,Corporate,San Francisco,CA,West
CU-100103,Elizabeth Miller,Consumer,Fort Worth,TX,West
CU-100104,Emma Gonzalez,Corporate,New York,NY,West
CU-100105,Joseph Smith,Home Office,Philadelphia,PA,West
CU-100106,Joseph Williams,Corporate,Houston,TX,Central
CU-100107,Linda Wilson,Home Office,Charlotte,NC,South
CU-100108,Elizabeth Davis,Corporate,Philadelphia,PA,West
CU-100109,Elizabeth Hernandez,Consumer,Dallas,TX,Central
CU-100110,Michael Lopez,Corporate,Charlotte,NC,West
CU-100111,James Garcia,Home Office,Dallas,TX,East
CU-100112,David Brown,Corporate,Phoenix,AZ,West
CU-100113,Michael Miller,Corporate,San Antonio,TX,Central
CU-100114,Joseph Miller,Consumer,Seattle,WA,West
CU-100115,Richard Anderson,Home Office,Columbus,OH,East
CU-100116,Elizabeth Smith,Corporate,Fort Worth,TX,Central
CU-100117,Linda Rodriguez,Home Office,Fort Worth,TX,West
CU-100118,Jennifer Jones,Corporate,San Francisco,CA,South
CU-100119,Richard Garcia,Home Office,New York,NY,South
CU-100120,Joseph Anderson,Consumer,Philadelphia,PA,East
CU-100121,John Johnson,Home Office,Fort Worth,TX,South
CU-100122,Joseph Williams,Consumer,Phoenix,AZ,Central
CU-100123,James Brown,Corporate,Fort Worth,TX,Central
CU-100124,Richard Jones,Corporate,Austin,TX,Central
CU-100125,Elizabeth Smith,Home Office,Chicago,IL,East
CU-100126,Jennifer Hernandez,Consumer,Jacksonville,FL,East
CU-100127,Jennifer Brown,Consumer,New York,NY,West
CU-100128,David Davis,Home Office,San Diego,CA,East
CU-100129,Joseph Lopez,Corporate,San Antonio,TX,Central
CU-100130,Emma Gonzalez,Consumer,Philadelphia,PA,Central
CU-100131,John Anderson,Corporate,Houston,TX,South
CU-100132,Robert Johnson,Home Office,Fort Worth,TX,West
CU-100133,Mary Wilson,Home Office,Houston,TX,East
CU-100134,Patricia Rodriguez,Corporate,Los Angeles,CA,Central
CU-100135,James Smith,Corporate,Chicago,IL,South
CU-100136,Linda Garcia,Home Office,Houston,TX,South
CU-100137,Linda Williams,Home Office,Phoenix,AZ,Central
CU-100138,Elizabeth Davis,Corporate,Seattle,WA,Central
CU-100139,Jennifer Wilson,Consumer,Austin,TX,Central
CU-100140,Jennifer Gonzalez,Corporate,Charlotte,NC,South
CU-100141,John Davis,Corporate,Austin,TX,West
CU-100142,Robert Garcia,Corporate,San Francisco,CA,Central
CU-100143,William Rodriguez,Consumer,Dallas,TX,West
CU-100144,Jennifer Lopez,Corporate,Chicago,IL,South
CU-100145,Jennifer Lopez,Corporate,Seattle,WA,South
CU-100146,John Johnson,Corporate,Charlotte,NC,West
CU-100147,Jennifer Jones,Home Office,Fort Worth,TX,Central
CU-100148,Patricia Miller,Home Office,San Francisco,CA,Central
CU-100149,Joseph Jones,Corporate,Jacksonville,FL,Central
CU-100150,Emma Lopez,Consumer,San Diego,CA,Central
CU-100151,Lisa Brown,Consumer,Houston,TX,South
CU-100152,Mary Johnson,Consumer,Dallas,TX,Central
CU-100153,Patricia Williams,Corporate,San Diego,CA,East
CU-100154,David Jones,Consumer,Seattle,WA,East
CU-100155,Mary Lopez,Consumer,Seattle,WA,South
CU-100156,John Martinez,Corporate,Houston,TX,South
CU-100157,Joseph Garcia,Consumer,San Francisco,CA,East
CU-100158,Elizabeth Johnson,Consumer,Dallas,TX,South
CU-100159,Michael Martinez,Home Office,San Francisco,CA,East
CU-100160,David Gonzalez,Home Office,Phoenix,AZ,Central
CU-100161,Jennifer Johnson,Home Office,Chicago,IL,South
CU-100162,Richard Davis,Corporate,San Diego,CA,Central
CU-100163,Mary Martinez,Home Office,Columbus,OH,East
CU-100164,Robert Hernandez,Consumer,Houston,TX,Central
CU-100165,Lisa Brown,Consumer,Chicago,IL,East
CU-100166,John Miller,Corporate,Philadelphia,PA,South
CU-100167,Sarah Brown,Corporate,San Jose,CA,Central
CU-100168,Michael Hernandez,Consumer,Charlotte,NC,Central
CU-100169,Linda Johnson,Home Office,San Antonio,TX,West
CU-100170,William Wilson,Consumer,Phoenix,AZ,East
CU-100171,Lisa Gonzalez,Corporate,Los Angeles,CA,Central
CU-100172,Emma Davis,Home Office,Charlotte,NC,Central
CU-100173,William Rodriguez,Home Office,Fort Worth,TX,South
CU-100174,Michael Martinez,Consumer,Charlotte,NC,South
CU-100175,William Smith,Consumer,Austin,TX,West
CU-100176,William Martinez,Consumer,New York,NY,West
CU-100177,Joseph Anderson,Corporate,San Francisco,CA,West
CU-100178,Elizabeth Johnson,Corporate,Columbus,OH,Central
CU-100179,James Garcia,Home Office,Columbus,OH,East
CU-100180,James Miller,Home Office,Philadelphia,PA,South
CU-100181,Richard Wilson,Home Office,San Jose,CA,East
CU-100182,Michael Garcia,Corporate,Charlotte,NC,Central
CU-100183,Richard Wilson,Home Office,Houston,TX,East
CU-100184,Joseph Miller,Consumer,Seattle,WA,West
CU-100185,Patricia Martinez,Corporate,Indianapolis,IN,South
CU-100186,Robert Jones,Home Office,Los Angeles,CA,West
CU-100187,Joseph Anderson,Home Office,San Jose,CA,South
CU-100188,John Hernandez,Home Office,Houston,TX,West
CU-100189,Mary Rodriguez,Consumer,Philadelphia,PA,South
CU-100190,Jennifer Wilson,Consumer,Chicago,IL,South
CU-100191,David Davis,Home Office,Houston,TX,Central
CU-100192,William Miller,Corporate,Indianapolis,IN,South
CU-100193,Joseph Rodriguez,Consumer,San Diego,CA,South
CU-100194,David Wilson,Consumer,San Antonio,TX,Central
CU-100195,James Anderson,Home Office,Columbus,OH,Central
CU-100196,Mary Lopez,Corporate,New York,NY,South
CU-100197,Joseph Rodriguez,Corporate,Phoenix,AZ,Central
CU-100198,Richard Davis,Corporate,Austin,TX,West
CU-100199,Richard Brown,Corporate,San Diego,CA,East
CU-100200,Elizabeth Lopez,Corporate,Austin,TX,South
CU-100201,Elizabeth Smith,Consumer,Phoenix,AZ,Central
CU-100202,Joseph Johnson,Home Office,Houston,TX,South
CU-100203,David Miller,Home Office,New York,NY,West
CU-100204,Elizabeth Gonzalez,Corporate,Chicago,IL,Central
CU-100205,Michael Wilson,Corporate,Fort Worth,TX,South
CU-100206,Elizabeth Wilson,Home Office,Austin,TX,East
CU-100207,Jennifer Hernandez,Home Office,Chicago,IL,Central
CU-100208,Michael Miller,Consumer,San Diego,CA,East
CU-100209,Lisa Lopez,Corporate,Charlotte,NC,East
CU-100210,James Gonzalez,Consumer,Los Angeles,CA,Central
CU-100211,Patricia Miller,Consumer,Jacksonville,FL,West
CU-100212,Linda Martinez,Home Office,Indianapolis,IN,West
CU-100213,Lisa Johnson,Home Office,Philadelphia,PA,South
CU-100214,Elizabeth Anderson,Home Office,San Diego,CA,West
CU-100215,Joseph Hernandez,Corporate,San Diego,CA,South
CU-100216,John Anderson,Corporate,Dallas,TX,Central
CU-100217,Lisa Johnson,Corporate,Seattle,WA,Central
CU-100218,Linda Lopez,Corporate,San Jose,CA,South
CU-100219,Robert Miller,Corporate,San Jose,CA,East
CU-100220,Richard Martinez,Corporate,San Diego,CA,Central
CU-100221,John Wilson,Home Office,San Jose,CA,South
CU-100222,John Martinez,Home Office,Dallas,TX,East
CU-100223,Mary Gonzalez,Consumer,San Francisco,CA,Central
CU-100224,Robert Martinez,Corporate,San Diego,CA,West
CU-100225,Sarah Jones,Corporate,Houston,TX,East
CU-100226,David Johnson,Corporate,Jacksonville,FL,Central
CU-100227,Lisa Brown,Consumer,Columbus,OH,Central
CU-100228,William Wilson,Consumer,Indianapolis,IN,Central
CU-100229,Mary Lopez,Corporate,San Francisco,CA,East
CU-100230,Michael Williams,Consumer,Charlotte,NC,South
CU-100231,Patricia Johnson,Corporate,Seattle,WA,East
CU-100232,Emma Davis,Corporate,Dallas,TX,Central
CU-100233,Patricia Johnson,Home Office,Fort Worth,TX,West
CU-100234,John Martinez,Home Office,San Francisco,CA,Central
CU-100235,Michael Hernandez,Corporate,San Diego,CA,Central
CU-100236,Emma Williams,Consumer,Columbus,OH,East
CU-100237,Elizabeth Johnson,Consumer,San Jose,CA,West
CU-100238,David Miller,Corporate,Seattle,WA,Central
CU-100239,Linda Martinez,Home Office,Seattle,WA,West
CU-100240,Emma Wilson,Corporate,Columbus,OH,South
CU-100241,Sarah Lopez,Corporate,Dallas,TX,West
CU-100242,Joseph Brown,Corporate,Charlotte,NC,East
CU-100243,Patricia Smith,Corporate,Jacksonville,FL,Central
CU-100244,Emma Wilson,Corporate,San Antonio,TX,East
CU-100245,John Smith,Corporate,San Antonio,TX,West
CU-100246,Robert Johnson,Home Office,Phoenix,AZ,West
CU-100247,Jennifer Garcia,Consumer,San Antonio,TX,East
CU-100248,David Williams,Home Office,Dallas,TX,Central
CU-100249,Emma Hernandez,Consumer,Philadelphia,PA,West
CU-100250,Patricia Gonzalez,Consumer,New York,NY,Central
CU-100251,Lisa Jones,Consumer,New York,NY,West
CU-100252,Emma Lopez,Consumer,Columbus,OH,South
CU-100253,Patricia Rodriguez,Home Office,Charlotte,NC,East
CU-100254,Jennifer Martinez,Consumer,Charlotte,NC,Central
CU-100255,John Smith,Corporate,Charlotte,NC,South
CU-100256,Emma Davis,Home Office,Columbus,OH,South
CU-100257,Michael Garcia,Home Office,Chicago,IL,West
CU-100258,David Jones,Home Office,Chicago,IL,Central
CU-100259,Mary Davis,Home Office,Fort Worth,TX,South
CU-100260,Emma Wilson,Home Office,Houston,TX,West
CU-100261,Joseph Anderson,Consumer,Columbus,OH,South
CU-100262,Joseph Miller,Corporate,Austin,TX,East
CU-100263,Linda Garcia,Home Office,Austin,TX,Central
CU-100264,David Hernandez,Corporate,Jacksonville,FL,East
CU-100265,Michael Johnson,Corporate,Chicago,IL,East
CU-100266,David Rodriguez,Consumer,Jacksonville,FL,Central
CU-100267,Linda Garcia,Home Office,Houston,TX,South
CU-100268,Mary Martinez,Corporate,Los Angeles,CA,Central
CU-100269,Robert Williams,Home Office,Houston,TX,South
CU-100270,Emma Garcia,Home Office,San Diego,CA,Central
CU-100271,William Martinez,Consumer,Houston,TX,South
CU-100272,John Martinez,Home Office,Seattle,WA,Central
CU-100273,Lisa Jones,Home Office,New York,NY,Central
CU-100274,Patricia Smith,Consumer,Austin,TX,West
CU-100275,Michael Williams,Home Office,Fort Worth,TX,East
CU-100276,Robert Miller,Corporate,Chicago,IL,South
CU-100277,Lisa Garcia,Corporate,Austin,TX,Central
CU-100278,Sarah Williams,Consumer,Chicago,IL,East
CU-100279,William Davis,Home Office,Chicago,IL,South
CU-100280,Joseph Miller,Corporate,San Francisco,CA,West
CU-100281,Emma Garcia,Corporate,Indianapolis,IN,East
CU-100282,Elizabeth Rodriguez,Home Office,San Jose,CA,Central
CU-100283,Jennifer Miller,Home Office,Los Angeles,CA,East
CU-100284,Robert Jones,Consumer,New York,NY,West
CU-100285,Mary Garcia,Consumer,Dallas,TX,East
CU-100286,Linda Williams,Consumer,San Francisco,CA,South
CU-100287,Jennifer Rodriguez,Home Office,Seattle,WA,Central
CU-100288,Richard Wilson,Home Office,Chicago,IL,East
CU-100289,John Davis,Consumer,Columbus,OH,Central
CU-100290,Richard Lopez,Home Office,Columbus,OH,South
CU-100291,Emma Miller,Consumer,San Jose,CA,Central
CU-100292,Joseph Wilson,Home Office,Philadelphia,PA,Central
CU-100293,Linda Wilson,Consumer,Chicago,IL,West
CU-100294,Richard Rodriguez,Consumer,Columbus,OH,South
CU-100295,James Brown,Corporate,San Jose,CA,West
CU-100296,Emma Rodriguez,Home Office,Chicago,IL,West
CU-100297,Patricia Lopez,Home Office,Jacksonville,FL,West
CU-100298,Emma Williams,Corporate,San Diego,CA,West
CU-100299,David Gonzalez,Home Office,Philadelphia,PA,East
CU-100300,Elizabeth Davis,Home Office,Philadelphia,PA,South
CU-100301,James Williams,Corporate,Austin,TX,East
CU-100302,Joseph Hernandez,Corporate,San Francisco,CA,Central
CU-100303,Patricia Rodriguez,Consumer,Los Angeles,CA,Central
CU-100304,Joseph Smith,Consumer,Charlotte,NC,Central
CU-100305,Michael Hernandez,Consumer,San Jose,CA,South
CU-100306,Sarah Davis,Home Office,Charlotte,NC,West
CU-100307,Elizabeth Rodriguez,Consumer,Austin,TX,East
CU-100308,Emma Gonzalez,Corporate,Charlotte,NC,East
CU-100309,Lisa Smith,Consumer,Indianapolis,IN,South
CU-100310,Lisa Garcia,Corporate,Charlotte,NC,Central
CU-100311,Linda Gonzalez,Corporate,Fort Worth,TX,East
CU-100312,Michael Garcia,Consumer,Austin,TX,South
CU-100313,William Lopez,Home Office,San Jose,CA,West
CU-100314,Michael Martinez,Home Office,Austin,TX,West
CU-100315,Mary Hernandez,Home Office,Jacksonville,FL,South
CU-100316,Michael Jones,Home Office,Phoenix,AZ,South
CU-100317,David Hernandez,Home Office,Austin,TX,East
CU-100318,Patricia Smith,Corporate,Columbus,OH,Central
CU-100319,Robert Garcia,Corporate,Philadelphia,PA,West
CU-100320,David Williams,Consumer,San Diego,CA,Central
CU-100321,Sarah Hernandez,Corporate,Houston,TX,West
CU-100322,David Williams,Consumer,Fort Worth,TX,West
CU-100323,Sarah Miller,Corporate,Charlotte,NC,West
CU-100324,Mary Gonzalez,Home Office,Charlotte,NC,South
CU-100325,Jennifer Jones,Corporate,San Diego,CA,West
CU-100326,Joseph Davis,Corporate,Jacksonville,FL,South
CU-100327,Linda Williams,Consumer,Indianapolis,IN,West
CU-100328,Sarah Hernandez,Corporate,Dallas,TX,Central
CU-100329,Emma Lopez,Home Office,Seattle,WA,East
CU-100330,Michael Gonzalez,Consumer,San Jose,CA,Central
CU-100331,David Wilson,Corporate,Charlotte,NC,East
CU-100332,Joseph Anderson,Corporate,San Diego,CA,East
CU-100333,Sarah Miller,Home Office,Columbus,OH,Central
CU-100334,Richard Johnson,Corporate,San Diego,CA,West
CU-100335,James Anderson,Consumer,New York,NY,Central
CU-100336,David Smith,Corporate,Phoenix,AZ,South
CU-100337,Elizabeth Davis,Home Office,Phoenix,AZ,East
CU-100338,John Jones,Consumer,Chicago,IL,West
CU-100339,Linda Johnson,Corporate,Seattle,WA,West
CU-100340,Emma Smith,Consumer,San Jose,CA,South
CU-100341,Michael Johnson,Corporate,Charlotte,NC,East
CU-100342,Jennifer Lopez,Consumer,Indianapolis,IN,Central
CU-100343,John Martinez,Corporate,Columbus,OH,West
CU-100344,Lisa Hernandez,Home Office,Columbus,OH,East
CU-100345,Patricia Johnson,Home Office,Indianapolis,IN,East
CU-100346,Elizabeth Smith,Home Office,Fort Worth,TX,South
CU-100347,William Lopez,Consumer,Jacksonville,FL,Central
CU-100348,Patricia Brown,Home Office,Chicago,IL,East
CU-100349,David Smith,Corporate,Austin,TX,Central
CU-100350,Joseph Lopez,Corporate,Philadelphia,PA,West
CU-100351,Michael Lopez,Corporate,Phoenix,AZ,East
CU-100352,Robert Smith,Consumer,San Jose,CA,East
CU-100353,Mary Rodriguez,Corporate,Austin,TX,South
CU-100354,Sarah Gonzalez,Home Office,Dallas,TX,West
CU-100355,Patricia Wilson,Consumer,San Jose,CA,Central
CU-100356,Emma Gonzalez,Corporate,Dallas,TX,South
CU-100357,Joseph Anderson,Corporate,Fort Worth,TX,Central
CU-100358,Elizabeth Lopez,Corporate,Philadelphia,PA,Central
CU-100359,William Gonzalez,Consumer,Indianapolis,IN,South
CU-100360,Linda Martinez,Consumer,Chicago,IL,Central
CU-100361,Emma Johnson,Corporate,Austin,TX,Central
CU-100362,Joseph Martinez,Home Office,San Jose,CA,South
CU-100363,Joseph Garcia,Corporate,Philadelphia,PA,East
CU-100364,Linda Jones,Home Office,Jacksonville,FL,East
CU-100365,Richard Garcia,Home Office,Chicago,IL,West
CU-100366,David Wilson,Home Office,New York,NY,South
CU-100367,David Johnson,Consumer,Los Angeles,CA,Central
CU-100368,Richard Martinez,Consumer,Jacksonville,FL,West
CU-100369,Patricia Garcia,Corporate,Charlotte,NC,East
CU-100370,Patricia Miller,Corporate,Phoenix,AZ,Central
CU-100371,Emma Smith,Home Office,San Diego,CA,West
CU-100372,Richard Anderson,Home Office,San Francisco,CA,East
CU-100373,William Lopez,Corporate,Dallas,TX,West
CU-100374,Elizabeth Brown,Consumer,San Jose,CA,West
CU-100375,Joseph Williams,Home Office,Chicago,IL,South
CU-100376,James Hernandez,Corporate,Chicago,IL,East
CU-100377,Mary Anderson,Corporate,Seattle,WA,West
CU-100378,Patricia Rodriguez,Consumer,Philadelphia,PA,East
CU-100379,David Brown,Corporate,San Antonio,TX,East
CU-100380,Patricia Davis,Home Office,Jacksonville,FL,West
CU-100381,Michael Jones,Corporate,Chicago,IL,South
CU-100382,Linda Gonzalez,Corporate,Indianapolis,IN,East
CU-100383,James Hernandez,Consumer,Phoenix,AZ,South
CU-100384,Patricia Williams,Home Office,Charlotte,NC,West
CU-100385,Linda Rodriguez,Consumer,Phoenix,AZ,East
CU-100386,David Jones,Consumer,Indianapolis,IN,West
CU-100387,Jennifer Garcia,Home Office,Austin,TX,Central
CU-100388,William Brown,Home Office,Chicago,IL,Central
CU-100389,Mary Martinez,Home Office,Phoenix,AZ,East
CU-100390,Lisa Martinez,Home Office,Indianapolis,IN,West
CU-100391,James Wilson,Home Office,Philadelphia,PA,East
CU-100392,Michael Smith,Home Office,New York,NY,Central
CU-100393,Linda Martinez,Home Office,San Antonio,TX,East
CU-100394,Mary Hernandez,Corporate,San Francisco,CA,South
CU-100395,Richard Jones,Corporate,San Diego,CA,East
CU-100396,Lisa Davis,Corporate,Los Angeles,CA,South
CU-100397,Robert Garcia,Home Office,Charlotte,NC,West
CU-100398,James Lopez,Corporate,Austin,TX,South
CU-100399,Patricia Rodriguez,Home Office,Phoenix,AZ,East
CU-100400,Jennifer Davis,Consumer,Austin,TX,Central
CU-100401,Jennifer Williams,Consumer,Charlotte,NC,East
CU-100402,Richard Wilson,Home Office,San Jose,CA,South
CU-100403,Lisa Wilson,Corporate,San Diego,CA,Central
CU-100404,Lisa Davis,Home Office,San Antonio,TX,South
CU-100405,Mary Davis,Consumer,San Francisco,CA,East
CU-100406,Joseph Brown,Consumer,Fort Worth,TX,Central
CU-100407,Sarah Jones,Corporate,Los Angeles,CA,South
CU-100408,John Wilson,Consumer,San Jose,CA,South
CU-100409,William Lopez,Corporate,Phoenix,AZ,South
CU-100410,Sarah Miller,Consumer,Jacksonville,FL,West
CU-100411,Mary Johnson,Corporate,Jacksonville,FL,South
CU-100412,William Wilson,Home Office,Seattle,WA,East
CU-100413,Emma Miller,Corporate,Phoenix,AZ,Central
CU-100414,Patricia Gonzalez,Consumer,Seattle,WA,West
CU-100415,Richard Rodriguez,Consumer,Indianapolis,IN,East
CU-100416,David Lopez,Corporate,Los Angeles,CA,South
CU-100417,Joseph Williams,Home Office,Indianapolis,IN,West
CU-100418,James Williams,Corporate,Austin,TX,Central
CU-100419,Elizabeth Lopez,Home Office,Austin,TX,Central
CU-100420,John Garcia,Corporate,San Francisco,CA,East
CU-100421,Mary Gonzalez,Home Office,Columbus,OH,East
CU-100422,William Hernandez,Home Office,San Francisco,CA,West
CU-100423,Elizabeth Williams,Home Office,Los Angeles,CA,South
CU-100424,Jennifer Smith,Home Office,Phoenix,AZ,East
CU-100425,John Davis,Corporate,San Antonio,TX,South
CU-100426,Linda Lopez,Consumer,Phoenix,AZ,South
CU-100427,Elizabeth Wilson,Home Office,Indianapolis,IN,East
CU-100428,Robert Rodriguez,Corporate,Phoenix,AZ,South
CU-100429,Richard Garcia,Consumer,Indianapolis,IN,South
CU-100430,James Rodriguez,Corporate,Seattle,WA,Central
CU-100431,Robert Brown,Corporate,San Francisco,CA,Central
CU-100432,Mary Gonzalez,Corporate,San Diego,CA,West
CU-100433,James Davis,Corporate,San Francisco,CA,Central
CU-100434,Emma Martinez,Home Office,San Jose,CA,South
CU-100435,Patricia Gonzalez,Consumer,Fort Worth,TX,Central
CU-100436,Mary Lopez,Consumer,Los Angeles,CA,Central
CU-100437,William Lopez,Corporate,Charlotte,NC,West
CU-100438,William Anderson,Home Office,San Antonio,TX,Central
CU-100439,Emma Martinez,Home Office,Phoenix,AZ,West
CU-100440,Sarah Hernandez,Home Office,San Diego,CA,West
CU-100441,Sarah Johnson,Corporate,San Diego,CA,Central
CU-100442,Emma Hernandez,Consumer,San Francisco,CA,East
CU-100443,Lisa Miller,Home Office,Seattle,WA,South
CU-100444,Robert Gonzalez,Corporate,San Francisco,CA,Central
CU-100445,Sarah Anderson,Consumer,San Jose,CA,West
CU-100446,Sarah Anderson,Consumer,Seattle,WA,South
CU-100447,Sarah Wilson,Corporate,Philadelphia,PA,South
CU-100448,Mary Anderson,Consumer,Philadelphia,PA,East
CU-100449,Emma Anderson,Corporate,San Jose,CA,Central
CU-100450,Elizabeth Anderson,Consumer,Charlotte,NC,South
CU-100451,Robert Gonzalez,Consumer,Dallas,TX,Central
CU-100452,Joseph Hernandez,Corporate,Philadelphia,PA,West
CU-100453,James Gonzalez,Corporate,New York,NY,West
CU-100454,Richard Wilson,Corporate,Philadelphia,PA,Central
CU-100455,Richard Hernandez,Consumer,Chicago,IL,West
CU-100456,Elizabeth Garcia,Consumer,Phoenix,AZ,East
CU-100457,Richard Brown,Corporate,Dallas,TX,Central
CU-100458,Mary Martinez,Home Office,Austin,TX,East
CU-100459,Patricia Lopez,Consumer,Dallas,TX,East
CU-100460,Joseph Jones,Consumer,Houston,TX,South
CU-100461,Mary Lopez,Consumer,Indianapolis,IN,Central
CU-100462,Jennifer Brown,Consumer,Jacksonville,FL,South
CU-100463,Joseph Lopez,Home Office,Phoenix,AZ,Central
CU-100464,Elizabeth Gonzalez,Home Office,Columbus,OH,West
